NAME                                          POD-SELECTOR                               AGE
allow-dns-egress                              <none>                                     3h10m
allow-ingress-controller-to-web               app.kubernetes.io/component=web            58m
allow-media-server-to-customer-egress-proxy   app.kubernetes.io/component=media-server   3h10m
allow-media-server-to-web                     app.kubernetes.io/component=media-server   3h10m
allow-media-server-to-web-ingress             app.kubernetes.io/component=web            3h10m
allow-minio-setup-ingress                     app.kubernetes.io/component=minio          3h10m
allow-minio-setup-to-minio                    app.kubernetes.io/component=minio-setup    3h10m
allow-web-required-egress                     app.kubernetes.io/component=web            3h10m
allow-web-to-customer-egress-proxy            app.kubernetes.io/component=web            3h10m
allow-web-to-media-server                     app.kubernetes.io/component=media-server   3h10m
allow-web-to-minio                            app.kubernetes.io/component=minio          3h10m
allow-web-to-mysql-ingress                    app.kubernetes.io/component=mysql          3h10m
default-deny-ingress-egress                   <none>                                     3h10m
